manifest_order	year	edition	configured_source	range_start	range_end	configured_range_kind	schema_regime	unit_multiplier	rotation_degrees	source_note	todo	manifest_row_status	selected_source_available	selected_source_type	selected_source_path	alternate_source_count	alternate_source_paths	output_token_file_count	output_page_count	invalid_row_note
116	1936	1	fraser	2	8	multipart_pdf_position	1934	1000	0	folder		configured	no	missing		0		7	1522	
117	1936	2	fraser	2	8	multipart_pdf_position	1934	1000	0	folder		configured	no	missing		0		7	1234	
118	1937	1	fraser	2	7	multipart_pdf_position	1934	1000	0	folder		configured	no	missing		0		6	1235	
119	1937	2	fraser	2	7	multipart_pdf_position	1934	1000	0	folder		configured	no	missing		0		6	1241	
120	1938	1	fraser	2	8	multipart_pdf_position	1934	1000	0	folder		configured	no	missing		0		7	1252	
121	1938	2	fraser	2	7	multipart_pdf_position	1934	1000	0	folder		configured	no	missing		0		6	1260	
122	1939	1	fraser	2	8	multipart_pdf_position	1934	1000	0	folder		configured	no	missing		0		7	1258	
123	1939	2	fraser	2	7	multipart_pdf_position	1934	1000	0	folder		configured	no	missing		0		6	1263	
124	1940	1	fraser	2	8	multipart_pdf_position	1934	1000	0	folder		configured	no	missing		0		7	1264	
125	1940	2	fraser	2	8	multipart_pdf_position	1934	1000	0	folder		configured	no	missing		0		7	1266	
126	1941	1	fraser	3	9	multipart_pdf_position	1934	1000	0	folder		configured	no	missing		0		0	0	
127	1941	2	fraser	3	9	multipart_pdf_position	1934	1000	0	folder		configured	no	missing		0		0	0	
128	1942	1	fraser	2	8	multipart_pdf_position	1934	1000	0	folder		configured	no	missing		0		0	0	
129	1942	2	fraser	2	8	multipart_pdf_position	1934	1000	0	folder		configured	no	missing		0		0	0	
